Experiment,Accuracy,Precision,Recall,Macro_F1,Weighted_F1,QWK,AUC,PR_AUC
Combined→APTOS,0.44005449591280654,0.3375239864211657,0.3403485952475558,0.2914360852822392,0.4387654451791949,0.5061145265058113,0.7560656531404374,0.38708665278875704
Combined→DDR,0.5598563447725459,0.413129248531788,0.36716111044852456,0.3440271591181271,0.47398212603495177,0.424961212999714,0.7660514058871766,0.41219326934835737
Combined→MESSIDOR,0.4114285714285714,0.2656926406926407,0.22441643323996266,0.19364280094413847,0.39696691768761005,0.133989059299212,0.6977514576717987,0.38569937374862817
Combined→DR,0.3666061705989111,0.10754483611626468,0.20122719734660036,0.1122747747747748,0.20399028792858195,0.035249033981134215,0.6432392618495142,0.29955418994604943
